school_name,census_block
Tottenville High School,360850198004006
Roosevelt Elementary School,340350516001021
Rachel Carson High School for Coastal Studies,360470354001007
Lido Elementary School,360594169001075
Saint Edmund Preparatory High School,360470578002000
New Utrecht High School,360470182001003
Port Richmond High School,360850213005000
Waverly Park Elementary School,360594122005004
Rhame Avenue Elementary School,360594122002015
East Rockaway Junior-Senior High School,360594130013006
Evergreen Elementary School,340390385003006
Seaford Harbor Elementary School,360594161004011
Howard T. Herber Middle School,360594102002004
Merrick Avenue Middle School,360594150001000
Harding Avenue Elementary School,361031244022003
South Brooklyn Community High School,360470053011006
Susan E. Wiley Elementary School,361031237042002
Park Avenue Elementary School,360594148002006
William S. Covert Elementary School,360594128001039
East Lake Elementary School,360595216021011
Hanson Place Seventh-Day Adventist Elementary School,360470035001000
Edmund W. Miles Middle School,361031233032005
Lindenhurst High School,361031240012000
John G. Dinkelmeyer Elementary School,360594085001000
Farmingdale High School,360595205023014
Walnut Street Elementary School,360594074021001
Sewanhaka High School,360594048001000
Stuyvesant High School,360610317031001
Santapogue Elementary School,361031229011011
Marion G. Vedder Elementary School,361031231013012
Glenwood Elementary School,340130203003001
Elisabeth Irwin High School,360610037003001
Belmont Elementary School,361031230013012
Forest Hills High School,360810747002001
Bay Shore High School,361031473012014
Martin Van Buren High School,360811301003005
Idle Hour Elementary School,361031476012009
New Hyde Park Road Elementary School,360593030002001
Cherry Avenue Elementary School,361031477021000
Academy Street Elementary School,361031479021009
Queens Technical High School,360810189002002
Landmark High School,360610089002001
East Islip High School,361031465003010
Hicksville High School,360595191001005
Laurel Park Elementary School,361031461053012
South Ocean Middle School,361031590001003
Brentwood High School,361031460012002
Cantiague Elementary School,360595185013023
Howard B. Mattlin Middle School,360595197021028
Hunter College Campus Schools,360610160011001
Richard S. Sherman - Great Neck North Middle School,360593001004026
"Columbia Secondary School For Math, Science And Engineering",360610209012000
Vanderbilt Elementary School,361031121021013
Bronx Community High School,360050185024003
Middle School X101 Edward R Byrne,360050152001002
Henry P Becton Regional High School,340030120013009
Dogwood Elementary School,361031349092001
Accompsett Elementary School,361031351042001
Accompsett Middle School,361031351042001
Mills Pond Elementary School,361031350031000
Pulaski Road Elementary School,361031117011003
Ann MacArthur Primary School,360595178021004
William T. Rogers Middle School,361031347041010
Comsewogue High School,361031583191000
Martin Luther King Junior High Technical and Computer Magnet School,361190003003002
Rocky Point Middle/High School,361031584011010
Highview School,361190108041009
Eric S Simith Middle School,340030441001006
Byram Hills High School,361190123042006
Fox Lane Middle School,361190127004018
Mount Kisco Elementary School,361190129003001
Bedford Village Elementary School,361190127002002
Greenwood Lake Middle School,360710148021008
Peekskill Middle School,361190141005000
Sapphire Elementary School,360710142022009
Mohansic Elementary School,361190148063004
North Main Street Elementary School,360710141011017
Putnam Valley Middle School,360790109023015
James I O'Neill High School,360710138002026
Mahopac High School,360790112021000
Round Hill Elementary School,360710134003013
Cornwall Central Middle School,360710130003002
Kent Elementary School,360790105003000
Fishkill Elementary School,360270604001001
John G Borden Middle School,361119554001034
Fallsburg Junior Senior High School,361059509003000
Haviland Middle School,360270703014002
Webutuck Middle School-High School,360271000001033
Rhinebeck High School,360271600051006
Otto-Eldred Junior/Senior High School,420834206001037
Woodstock Elementary School,361119505002010
Jasper-Troupsburg Elementary School,361019620005024
Tioga Senior High School,361070206004051
Bolivar Richburg Junior Senior High School,360039512012013
Olean Senior High School,360099617002026
Windsor Elementary School,360070125021011
Southwestern High School,360130372003007
Union-Endicott High School,360070137002001
Seton Catholic Central High School,360070014023003
Owego Elementary School,361070205003001
Cohen Middle School,360150106003007
Wellsville Elementary School,360039509003025
Walton Central School Middle and High,360259706013021
Prospect Elementary School,360099607031069
Hunter-Tannsersville Middle School High School,360390804031034
Spencer-Van Etten High School,361070207013034
Sidney Elementary School,360259704024005
Cattaraugus Central High School,360099605005009
Keshequa Central High School,360510312002047
Nunda Middle and High School,360510312002047
Groton Elementary,361090022002007
Bethlehem Central Middle School,360010142031005
Homer High School,360239703004012
Clayton A. Boughton High School,360010145011032
Green Tech High Charter School,360010026002002
Voorheesville Elementary School,360010145031020
New Scotland Elementary,360010016004010
Bell Top Elementary School,360830523061044
Robert Frost Elementary School,250092518004000
Farnsworth Middle School,360010146144014
Poestenkill Elementary School,360830522013012
Cooperstown Elementary School,360775902022019
Tech Valley High School,360010004041013
Blue Creek Elementary School,360010135052000
KIPP Troy Prep Elementary School,360830404002003
Lisha Kill Middle School,360010138041000
Turnpike Elementary School,360830401001002
William C Keane Elementary School,360930217001004
Hamilton Elementary School,360930215001000
Martin Luther King Magnet Elementary School,360930209001007
Fabius-Pompey Middle School-High School,360670169022013
West Senior High School,360290117003018
Lorraine Elementary School,360290008003008
Lancaster Middle School,360290143004002
Avon Middle School,360510303001000
Waterloo High & Middle School Campus,360999505003026
Seneca Falls Middle School,360999502002005
Skaneateles High School,360670166003001
Red Jacket High School,360690503023041
Amsterdam High School,360570721003029
Kenmore West Sr. High School,360290081024004
Pembroke Jr. Sr. High School,360379503011023
Eagle Hill Middle School,360670152022024
Enders Road Elementary School,360670152022024
OESJ High School,360570724001008
Immaculate Conception Elementary School,360670151001003
Westhill Central High School,360670164001003
Jordan-Elbridge Senior High School,360670120004014
OESJ Elementary/Middle School,360359705004002
Macedon Elementary School,361170203023016
Pine Grove Middle and Woodland Elementary,360670154004007
Jefferson Road Elementary School,360550123012002
Lake Avenue Elementary School,360910610012001
John F Hughes Elementary School,360650217011004
Gaskill High School,360630210002003
North Broad Elementary School,360530301021011
Maple Avenue Middle School,360910606013011
Mayfield Elementary School,360359702001005
Donlin Drive Elementary School,360670135001005
Vernon-Verona-Sherrill Senior High School,360650247002040
John F. Kennedy Middle School,360650216011014
Rockester Preparatory High School,360550143022007
Marion Junior-Senior High School,361170205003021
Ballard Elementary School,360910607032005
DeSales Elementary and Middle School,360630234021022
Willow Field Elementary School,360670112022000
Bellamy Elementary School,360650225004018
Spry Middle School,360550114021006
Willink Middle School,360550112052012
Albion Middle School,360730407012021
Corinth Middle-High School,360910604002004
Paddy Hill Elementary School,360550136041000
Millard Hawk Elementary School,360750207061017
Paul V Moore High School,360750207061014
Abraham Wing Elementary School,361130705001005
Whitehall Elementary School,361150820012003
Sandy Creek High School,360750202021003
General Bruce C. Clark Junior/Senior High School,360450618022020
Ohio Elementary School,360450612001014
Dexter Elementary School,360450604011071
Indian River Central High School,360450606012037
Theresa Elementary School,360450607001075
Lake Placid High School,360319605012030
Paul Smiths College,360339508001035
Grant C. Madill Elementary School,360894916002019
John F. Kennedy Elementary School,360894914003017
Madrid-Waddington High School,360894905002050
Malone Middle School,360339505013013
Flanders Elementary School,360339514003001
Madison Elementary School,360894902002010
Rouses Point Elementary School,360191001022009
